title,views,upload_date,length,likes,dislikes,url
JONY BELTRAN vs DROSE – Cuartos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"889,713","Nov 12, 2016",7:22,"10,940","15,430",https://www.youtube.com/watch?v=oyELKSxmRr4
ARKANO vs GASPER – Cuartos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"2,960,086","Nov 12, 2016",4:59,"27,267","1,296",https://www.youtube.com/watch?v=noahsGDi3W4
SKONE vs PAPO – Cuartos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"3,424,620","Nov 12, 2016",4:47,"44,916","20,190",https://www.youtube.com/watch?v=FmZUwwJZrXY
SKONE vs ARKANO – Semifinal: Final Internacional 2016 – Red Bull Batalla de los Gallos,"10,070,948","Nov 12, 2016",7:26,"94,874","5,440",https://www.youtube.com/watch?v=Ah3XwUisNZU
JOTA vs JONY BELTRAN – Semifinales: Final Internacional 2016 – Red Bull Batalla de los Gallos,"1,352,013","Nov 12, 2016",4:48,"14,387","10,558",https://www.youtube.com/watch?v=dbfsZ2Mxnyc
ARKANO vs JONY BELTRAN – 3º y 4º Puesto: Final Internacional 2016 – Red Bull Batalla de los Gallos,"4,635,907","Nov 12, 2016",4:59,"40,899","1,577",https://www.youtube.com/watch?v=ngwFHWw6oKM
JOTA vs SKONE - Final | Red Bull Internacional 2016,"11,512,954","Nov 12, 2016",12:58,"126,333","15,257",https://www.youtube.com/watch?v=7DsQ0SKx7ik
Tom Crowley VS Tom Crowley - Promoción Final Internacional 2015 Red Bull Batalla de los Gallos,"74,961","Dec 21, 2015",1:32,"2,340",108,https://www.youtube.com/watch?v=AKGiAzeaUF0
ARKANO vs TOM CROWLEY – Final: Final Internacional Chile 2015 | Red Bull Batalla De Los Gallos,"8,708,325","Dec 13, 2015",7:24,"79,907","2,753",https://www.youtube.com/watch?v=8vRJ7-Hu8RA
ACZINO vs IMIGRANTE – 3r y 4º puesto: Final Internacional 2015 | Red Bull Batalla De Los Gallos,"795,207","Dec 13, 2015",4:41,"7,695","1,056",https://www.youtube.com/watch?v=FnYf007QDdc
TOM CROWLEY vs IMIGRANTE – Semifinal: Final Internacional 2015 | Red Bull Batalla De Los Gallos,"606,957","Dec 13, 2015",7:26,"3,730",615,https://www.youtube.com/watch?v=bsmuHq1XESE
ACZINO vs ARKANO - Semifinal | Red Bull Internacional 2015,"16,020,247","Dec 13, 2015",9:57,"133,895","5,419",https://www.youtube.com/watch?v=V4jq-E2e4Oc
TOM CROWLEY vs JOTA – Cuartos: Final Internacional de Chile 2015 | Red Bull Batalla De Los Gallos,"1,373,608","Dec 13, 2015",5:07,"8,177","3,417",https://www.youtube.com/watch?v=HHEN1ZAI1AU
IMIGRANTE vs PENZATTORE – Cuartos: Final Internacional Chile 2015 | Red Bull Batalla De Los Gallos,"198,336","Dec 13, 2015",4:53,"1,510",58,https://www.youtube.com/watch?v=vNEc3QA0zCo
ACZINO vs MRJUNIOR– Cuartos: Final Internacional Chile 2015 | Red Bull Batalla De Los Gallos,"596,258","Dec 13, 2015",4:48,"5,179",107,https://www.youtube.com/watch?v=frRiB_S2gvA
DTOKE vs ARKANO - Cuartos | Red Bull Internacional 2015,"44,005,544","Dec 13, 2015",7:26,"423,242","15,004",https://www.youtube.com/watch?v=cU7C7Fhz4us
IMIGRANTE vs PENZATTORE – Emparejamientos: Final Internacional 2015 | Red Bull Batalla De Los Gallos,"253,536","Dec 13, 2015",4:23,"2,150",82,https://www.youtube.com/watch?v=5FBXpHSiHio
ACZINO vs ARKANO – Emparejamientos: Final Internacional Chile 2015 | Red Bull Batalla De Los Gallos,"4,350,016","Dec 13, 2015",4:32,"40,995","1,010",https://www.youtube.com/watch?v=67N-DH672eY
DTOKE vs JOTA – Emparejamientos: Final Internacional de Chile 2015 | Red Bull Batalla De Los Gallo,"4,850,110","Dec 13, 2015",4:33,"36,095",810,https://www.youtube.com/watch?v=PxTSjz-brxc
